festival_name,start_date,end_date,regions,category,significance,demand_lift_category,notes
Makar Sankranti,2022-01-14,2022-01-16,MH;GJ;RJ;KA;AP;TG,seasonal,moderate,low,"Harvest/kite-festival uplift in sweets, gifting and regional retail"
Valentine's Day,2022-02-14,2022-02-14,ALL,commercial,moderate,medium,"Short-duration uplift in gifting, beauty and dining"
Holi,2022-03-18,2022-03-18,ALL,religious,major,medium,"Colors, sweets, beverages and short leisure spike"
Eid al-Fitr,2022-05-03,2022-05-05,ALL,religious,major,high,"Apparel, gifting and food demand strengthens around celebration window"
Raksha Bandhan,2022-08-11,2022-08-11,ALL,religious,moderate,medium,"Gifting, confectionery and quick-commerce uplift"
Onam,2022-08-30,2022-09-08,KL,regional,major,high,"Kerala-led surge across apparel, home and FMCG"
Ganesh Chaturthi,2022-08-31,2022-09-09,MH;KA;AP;TG;GA,regional,major,medium,"Decor, sweets, FMCG and local retail uplift"
Navratri,2022-09-26,2022-10-05,ALL,religious,major,high,"Pre-Diwali ramp in apparel, beauty and jewelry"
Durga Puja,2022-10-01,2022-10-05,WB;OR;AS;JH,regional,major,high,Eastern India peak shopping and festive travel window
Diwali,2022-10-20,2022-10-26,ALL,religious,major,very_high,"Peak all-India demand period for apparel, jewelry, electronics and gifting"
Christmas & Year End,2022-12-24,2022-12-31,ALL,seasonal,major,medium,"Travel, dining, gifting and premium retail rise into year-end"
Makar Sankranti,2023-01-14,2023-01-16,MH;GJ;RJ;KA;AP;TG,seasonal,moderate,low,"Harvest/kite-festival uplift in sweets, gifting and regional retail"
Valentine's Day,2023-02-14,2023-02-14,ALL,commercial,moderate,medium,"Short-duration uplift in gifting, beauty and dining"
Holi,2023-03-08,2023-03-08,ALL,religious,major,medium,"Colors, sweets, beverages and short leisure spike"
Eid al-Fitr,2023-04-21,2023-04-23,ALL,religious,major,high,"Apparel, gifting and food demand strengthens around celebration window"
Raksha Bandhan,2023-08-30,2023-08-30,ALL,religious,moderate,medium,"Gifting, confectionery and quick-commerce uplift"
Onam,2023-08-20,2023-08-31,KL,regional,major,high,"Kerala-led surge across apparel, home and FMCG"
Ganesh Chaturthi,2023-09-19,2023-09-28,MH;KA;AP;TG;GA,regional,major,medium,"Decor, sweets, FMCG and local retail uplift"
Navratri,2023-10-15,2023-10-24,ALL,religious,major,high,"Pre-Diwali ramp in apparel, beauty and jewelry"
Durga Puja,2023-10-20,2023-10-24,WB;OR;AS;JH,regional,major,high,Eastern India peak shopping and festive travel window
Diwali,2023-11-09,2023-11-14,ALL,religious,major,very_high,"Peak all-India demand period for apparel, jewelry, electronics and gifting"
Christmas & Year End,2023-12-24,2023-12-31,ALL,seasonal,major,medium,"Travel, dining, gifting and premium retail rise into year-end"
Makar Sankranti,2024-01-14,2024-01-16,MH;GJ;RJ;KA;AP;TG,seasonal,moderate,low,"Harvest/kite-festival uplift in sweets, gifting and regional retail"
Valentine's Day,2024-02-14,2024-02-14,ALL,commercial,moderate,medium,"Short-duration uplift in gifting, beauty and dining"
Holi,2024-03-25,2024-03-25,ALL,religious,major,medium,"Colors, sweets, beverages and short leisure spike"
Eid al-Fitr,2024-04-10,2024-04-12,ALL,religious,major,high,"Apparel, gifting and food demand strengthens around celebration window"
Raksha Bandhan,2024-08-19,2024-08-19,ALL,religious,moderate,medium,"Gifting, confectionery and quick-commerce uplift"
Onam,2024-09-05,2024-09-15,KL,regional,major,high,"Kerala-led surge across apparel, home and FMCG"
Ganesh Chaturthi,2024-09-07,2024-09-17,MH;KA;AP;TG;GA,regional,major,medium,"Decor, sweets, FMCG and local retail uplift"
Navratri,2024-10-03,2024-10-12,ALL,religious,major,high,"Pre-Diwali ramp in apparel, beauty and jewelry"
Durga Puja,2024-10-09,2024-10-13,WB;OR;AS;JH,regional,major,high,Eastern India peak shopping and festive travel window
Diwali,2024-10-29,2024-11-03,ALL,religious,major,very_high,"Peak all-India demand period for apparel, jewelry, electronics and gifting"
Christmas & Year End,2024-12-24,2024-12-31,ALL,seasonal,major,medium,"Travel, dining, gifting and premium retail rise into year-end"
Makar Sankranti,2025-01-14,2025-01-16,MH;GJ;RJ;KA;AP;TG,seasonal,moderate,low,"Harvest/kite-festival uplift in sweets, gifting and regional retail"
Valentine's Day,2025-02-14,2025-02-14,ALL,commercial,moderate,medium,"Short-duration uplift in gifting, beauty and dining"
Holi,2025-03-14,2025-03-14,ALL,religious,major,medium,"Colors, sweets, beverages and short leisure spike"
Eid al-Fitr,2025-03-31,2025-04-02,ALL,religious,major,high,"Apparel, gifting and food demand strengthens around celebration window"
Raksha Bandhan,2025-08-09,2025-08-09,ALL,religious,moderate,medium,"Gifting, confectionery and quick-commerce uplift"
Onam,2025-09-03,2025-09-12,KL,regional,major,high,"Kerala-led surge across apparel, home and FMCG"
Ganesh Chaturthi,2025-08-27,2025-09-05,MH;KA;AP;TG;GA,regional,major,medium,"Decor, sweets, FMCG and local retail uplift"
Navratri,2025-09-22,2025-10-01,ALL,religious,major,high,"Pre-Diwali ramp in apparel, beauty and jewelry"
Durga Puja,2025-09-28,2025-10-02,WB;OR;AS;JH,regional,major,high,Eastern India peak shopping and festive travel window
Diwali,2025-10-18,2025-10-24,ALL,religious,major,very_high,"Peak all-India demand period for apparel, jewelry, electronics and gifting"
Christmas & Year End,2025-12-24,2025-12-31,ALL,seasonal,major,medium,"Travel, dining, gifting and premium retail rise into year-end"
Makar Sankranti,2026-01-14,2026-01-16,MH;GJ;RJ;KA;AP;TG,seasonal,moderate,low,"Harvest/kite-festival uplift in sweets, gifting and regional retail"
Valentine's Day,2026-02-14,2026-02-14,ALL,commercial,moderate,medium,"Short-duration uplift in gifting, beauty and dining"
Holi,2026-03-03,2026-03-03,ALL,religious,major,medium,"Colors, sweets, beverages and short leisure spike"
Eid al-Fitr,2026-03-20,2026-03-22,ALL,religious,major,high,"Apparel, gifting and food demand strengthens around celebration window"
Raksha Bandhan,2026-08-28,2026-08-28,ALL,religious,moderate,medium,"Gifting, confectionery and quick-commerce uplift"
Onam,2026-08-24,2026-09-02,KL,regional,major,high,"Kerala-led surge across apparel, home and FMCG"
Ganesh Chaturthi,2026-09-14,2026-09-23,MH;KA;AP;TG;GA,regional,major,medium,"Decor, sweets, FMCG and local retail uplift"
Navratri,2026-10-11,2026-10-20,ALL,religious,major,high,"Pre-Diwali ramp in apparel, beauty and jewelry"
Durga Puja,2026-10-16,2026-10-20,WB;OR;AS;JH,regional,major,high,Eastern India peak shopping and festive travel window
Diwali,2026-11-06,2026-11-11,ALL,religious,major,very_high,"Peak all-India demand period for apparel, jewelry, electronics and gifting"
Christmas & Year End,2026-12-24,2026-12-31,ALL,seasonal,major,medium,"Travel, dining, gifting and premium retail rise into year-end"
