date,channel,channel_type,campaign,region,product,spend,revenue,impressions,clicks,leads,mqls,sqls,conversions,bounce_rate,avg_session_duration_sec,form_completion_rate,nps_score,grps,reach,store_visits,calls_generated,event_attendees,dealer_enquiries
2022-01-01,paid_search,online,PS_Brand,North,Product_A,12000,45600,96000,4320,302,136,52,15,0.36,155,0.14,38,0,0,0,0,0,0
2022-01-01,paid_search,online,PS_Generic,North,Product_A,8500,22100,68000,2040,143,64,24,7,0.44,120,0.10,32,0,0,0,0,0,0
2022-01-01,social_paid,online,Meta_Awareness,North,Product_A,9200,16500,138000,1656,116,52,20,6,0.58,78,0.05,26,0,0,0,0,0,0
2022-01-01,social_paid,online,Meta_Retargeting,North,Product_A,3800,18200,57000,1710,120,54,20,8,0.32,130,0.15,34,0,0,0,0,0,0
2022-01-01,display,online,Programmatic,North,Product_A,5500,8750,137500,550,39,17,7,2,0.68,52,0.02,16,0,0,0,0,0,0
2022-01-01,email,online,Newsletter,North,Product_A,1800,12800,5400,1188,83,37,14,5,0.28,175,0.20,44,0,0,0,0,0,0
2022-01-01,video_youtube,online,Pre_Roll,North,Product_A,7200,14400,72000,576,40,18,7,2,0.52,65,0.03,28,0,0,0,0,0,0
2022-01-01,events,offline,Trade_Show_CES,North,Product_A,45000,198000,0,0,450,203,77,28,0,0,0,68,0,0,0,0,450,120
2022-01-01,tv_national,offline,TV_Brand_Q1,North,Product_A,85000,127500,0,0,0,0,0,8,0,0,0,42,285,2500000,0,890,0,0
2022-01-01,radio,offline,Radio_Regional,North,Product_A,12000,24000,0,0,0,0,0,3,0,0,0,30,180,450000,0,340,0,0
2022-01-01,ooh,offline,Billboard_Highway,North,Product_A,18000,28800,0,0,0,0,0,2,0,0,0,18,0,800000,1200,0,0,0
2022-01-01,direct_mail,offline,Catalog_Q1,North,Product_A,6500,16250,0,0,195,88,33,10,0,0,0,22,0,12000,0,0,0,45
2022-01-01,call_center,offline,Inbound_Sales,North,Product_A,4200,33600,0,0,420,189,72,14,0,0,0,48,0,0,0,420,0,0
2023-06-01,paid_search,online,PS_Brand,South,Product_B,14500,58000,116000,5220,366,165,63,19,0.34,162,0.15,40,0,0,0,0,0,0
2023-06-01,social_paid,online,LinkedIn_LeadGen,South,Product_B,11000,33000,55000,1650,248,112,42,10,0.42,140,0.12,35,0,0,0,0,0,0
2023-06-01,events,offline,Webinar_Series,South,Product_B,8000,56000,0,0,320,144,55,16,0,0,0,52,0,0,0,0,320,0
2023-06-01,tv_national,offline,TV_Product_Launch,South,Product_B,120000,204000,0,0,0,0,0,12,0,0,0,45,420,3200000,0,1200,0,0
2024-01-01,paid_search,online,PS_Brand,North,Product_A,16000,67200,128000,5760,403,181,69,21,0.32,168,0.16,42,0,0,0,0,0,0
2024-01-01,paid_search,online,PS_Competitor,East,Product_C,9500,28500,76000,3420,240,108,41,10,0.48,110,0.08,30,0,0,0,0,0,0
2024-01-01,social_paid,online,TikTok_Brand,West,Product_A,7800,10140,195000,1950,137,62,23,4,0.62,45,0.03,22,0,0,0,0,0,0
2024-01-01,events,offline,Conference_Annual,North,Product_A,55000,275000,0,0,550,248,94,34,0,0,0,72,0,0,0,0,550,180
2024-06-01,direct_mail,offline,PostCard_Summer,South,Product_B,4200,12600,0,0,126,57,22,6,0,0,0,20,0,8400,0,0,0,32
2025-01-01,paid_search,online,PS_Brand,North,Product_A,18000,79200,144000,6480,454,204,78,24,0.30,175,0.18,44,0,0,0,0,0,0
2025-01-01,social_paid,online,Meta_Awareness,North,Product_A,12000,22800,180000,2160,151,68,26,8,0.55,82,0.06,28,0,0,0,0,0,0
2025-01-01,tv_national,offline,TV_Brand_Q1,North,Product_A,95000,152000,0,0,0,0,0,10,0,0,0,44,310,2800000,0,1020,0,0
2025-06-01,paid_search,online,PS_Generic,South,Product_B,11000,30800,88000,2640,185,83,32,9,0.42,125,0.11,34,0,0,0,0,0,0
2025-06-01,events,offline,Trade_Show_H2,West,Product_C,38000,190000,0,0,380,171,65,22,0,0,0,65,0,0,0,0,380,95
2025-12-01,paid_search,online,PS_Brand,North,Product_A,22000,105600,176000,7920,554,249,95,30,0.28,182,0.20,46,0,0,0,0,0,0
2025-12-01,email,online,Promo_Holiday,North,Product_A,3200,25600,9600,2112,148,67,25,10,0.22,195,0.25,48,0,0,0,0,0,0
